"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"14.10.2025","Leņķi.
SR: Zina un lieto uzdevumu risināšanā jēdzienus un leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Pierāda leņķu vienādību, lietojot leņķu pie paralēlām taisnēm īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"17.10.2025","Burtu izteiksmes (formulas). Skaitliskas izteiksmes.
SR: Saskata formulu kā burtu izteiksmi. Atkārto darbības ar racionāliem skaitļiem. Prot saistīto pierakstu.",,"Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"17.10.2025","Skaitliskas izteiksmes.
SR: Atkārto darbības ar racionāliem skaitļiem. Prot saistīto pierakstu, ievēro darbību secību.","Darba lapas 7.9, 7.11
27.10.2025","Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"27.10.2025","Algebriskas izteiksmes.
SR: Zina, kas ir skaitliska, kas algebriska izteiksme. Prot aprēķināt izteiksmes vērtību, ja dota mainīgā vērtība. Prot sastādīt algebrisku izteiksmi no dotā teksta.",,"Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"27.10.2025","Algebriskas izteiksmes, to sastādīšana.
SR: Zina, kas ir skaitliska, kas algebriska izteiksme. Prot aprēķināt izteiksmes vērtību, ja dota mainīgā vērtība. Prot sastādīt algebrisku izteiksmi no dotā teksta.","68.lpp 2., 5. (2. stabiņš ), 70.lpp 12. uzd.
28.10.2025","Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"28.10.2025","Monoma jēdziens, to veidi.
SR: Zina, kas ir monoms, zina, kas ir vienādi, pretēji, līdzīgi monomi.",,"Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"28.10.2025","Monomu saskaitīšana un atņemšana.
SR: Zina, kādus monomus drīkst saskaitīt vai atņemt. saskata līdzīgus monomus un izpilda saskaitīšanu vai atņemšanu.","Pārbaudes darba kļūdu labojums. Mācību grāmatās 22. uzdevums 75.lpp
31.10.2025","Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"31.10.2025","Patstāvīgais darbs: Izteiksmju sastādīšana, monomu saskatīšana. Līdzīgo saskaitāmo savilkšana, iekavu atvēršana.
SR: Prot no dotā teksta izveidot skaitlisku vai algebrisku izteiksmi. Zina, kas ir līdzīgi monomi, prot tos saskatīt, saskaitīt un atņemt. Prot atvērt iekavas, ja to priekšā ir ""+"", ""-"" vai reizināšana.",,"Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"31.10.2025","Līdzīgo saskaitāmo savilkšana, iekavu atvēršana.
SR: Zina, kas ir līdzīgi monomi, prot tos saskatīt, saskaitīt un atņemt. Prot atvērt iekavas, ja to priekšā ir ""+"", ""-"" vai reizināšana.","75.lpp 26.,28. uzdevumi
3.11.2025","Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
"3.11.2025","Līdzīgo saskaitāmo savilkšana, iekavu atvēršana.
SR: Zina, kas ir līdzīgi monomi, prot tos saskatīt, saskaitīt un atņemt. Prot atvērt iekavas, ja to priekšā ir ""+"", ""-"" vai reizināšana.",,"Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.","3.temats"
